n-999999999998,  zeta 
816, 1.931793
817, -1.693084
818, 3.154508
819, -5.108427
820, -0.060604
821, -4.093335
822, 0.855314
823, -0.294506
824, 7.927233
825, 0.191059
826, 1.595269
827, -0.693073
828, 0.933669
829, -3.054508
830, 3.768321
831, 0.671639
832, 1.245740
833, 0.034598
834, 0.890792
835, -0.927534
836, 0.428642
837, -0.071642
838, 0.742467
839, -1.614698
840, 1.481094
841, -3.591541
842, 0.734093
843, -1.350145
844, 0.359930
845, 0.597744
846, 0.749280
847, 1.887680
848, -8.791350
849, -14.413085
850, 11.953814
851, -9.407386
852, 41.787333
853, 17.319671
854, -5.285927
855, 2.818388
856, -0.165163
857, -0.541901
858, 0.579023
859, -1.051926
860, 2.007796
861, 0.109212
862, 0.409002
863, 0.398699
864, 4.371694
865, -0.532278
866, -0.013911
867, -0.649935
868, 1.182200
869, -0.848555
870, 9.999359
871, -1.397562
872, -0.587207
873, -0.490569
874, 1.042751
875, -0.235936
876, 0.538732
877, -0.466821
878, 3.365604
879, -2.011507
880, 0.724064
881, -5.406306
882, 3.016819
883, -2.027986
884, 1.665528
885, -5.684275
886, 1.063142
887, -0.688602
888, -0.130378
889, -7.024302
890, 8.981766
891, -3.553625
892, -0.153229
893, -1.449353
894, 6.547483
895, 0.904391
896, 2.540720
897, -0.780819
898, 2.836264
899, -2.005028
900, -1.157627
901, -0.114633
902, 0.607579
903, -1.696294
904, 1.665386
905, -0.286387
906, 0.006563
907, -0.019749
908, 0.337792
909, 0.109643
910, -0.280562
911, 0.037288
912, 0.117509
913, -4.112004
914, 1.873378
915, -2.005924
916, 4.602718
917, -10.968603
918, 3.186095
919, -4.047661
920, 5.543428
921, -2.186765
922, 3.076309
923, -1.734581
924, 0.324184
925, -5.005330
926, 0.105064
927, -1.113063
928, 4.870143
929, 0.028499
930, 3.316230
931, -0.472897
932, -0.061209
933, -1.003755
934, 0.483360
935, -0.538672
936, 0.096226
937, 0.263865
938, 0.180375
939, -6.559727
940, 4.853395
941, -1.088752
942, 2.502761
943, -2.017474
944, 0.892669
945, -0.806388
946, 0.522981
947, -1.884298
948, 1.356590
949, -0.058999
950, 0.125514
951, -0.915694
952, 0.104348
953, 4.260791
954, 0.477912
955, 4.495163
956, 29.590385
957, -4.510239
958, 5.088604
959, -3.898683
960, -0.869913
961, 0.069077
962, 8.501022
963, -9.864106
964, -4.565454
965, 0.431470
966, -0.720818
967, 0.198802
968, 0.088993
969, -0.951450
970, 0.576433
971, -0.982594
972, 2.935299
973, -0.250797
974, 0.526158
975, -1.308484
976, 0.781082
977, -1.101430
978, 0.421181
979, -2.369625
980, 0.530416
981, -0.560534
982, -2.057659
983, -4.139745
984, 6.963394
985, -2.588784
986, 0.823911
987, -1.849050
988, -0.931466
989, -5.222405
990, 5.602654
991, -20.512828
992, -4.970561
993, -0.850860
994, 0.924495
995, -0.752063
996, 1.963419
997, -0.857248
998, 0.947765
999, -0.912811
1000, 0.073160
1001, 0.530317
1002, -6.225640
1003, -20.719859
1004, 0.042672
1005, -10.119608
1006, -3.475658
1007, 1.230855
1008, 0.148705
1009, -0.537727
1010, 0.619364
1011, -0.266495
1012, 0.258533
1013, -0.133736
1014, 1.847181
1015, -1.457707
1016, 2.243993
1017, -1.157850
1018, 0.199458
1019, 1.444814
1020, 3.763558
1021, -0.697583
1022, 2.246508
1023, -0.269796
1024, -0.599663
1025, -2.605137
1026, 10.590318
1027, -11.444695
1028, 4.252014
